"","File accession","File format","Output type","Experiment accession","Assay","Biosample term id","Biosample term name","Biosample type","Biosample organism","Biosample treatments","Biosample treatments amount","Biosample treatments duration","Experiment target","Library made from","Library depleted in","Library extraction method","Library lysis method","Library crosslinking method","Library strand specific","Experiment date released","Project","RBNS protein concentration","Library fragmentation method","Library size range","Biological replicate(s)","Technical replicate","Read length","Mapped read length","Run type","Paired end","Paired with","Derived from","Size","Lab","md5sum","dbxrefs","File download URL","Assembly","Platform","Controlled by","File Status","Restricted","Audit WARNING","Audit INTERNAL_ACTION","Audit NOT_COMPLIANT","Audit ERROR"
"51","ENCFF401DLQ","bigBed narrowPeak","peaks","ENCSR000ENA","DNase-seq","CL:0002604","astrocyte of the hippocampus","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF910KLI, ENCFF967OQF",4507041,"ENCODE Processing Pipeline","a8a84e2361007bce4b36b8aae7f3ddb5",NA,"https://www.encodeproject.org/files/ENCFF401DLQ/@@download/ENCFF401DLQ.bigBed","GRCh38",NA,NA,"released",NA,"low spot score, low read depth",NA,NA,NA
"52","ENCFF239FPC","bigBed broadPeak","hotspots","ENCSR000ENA","DNase-seq","CL:0002604","astrocyte of the hippocampus","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF707XHV, ENCFF967OQF",1612312,"ENCODE Processing Pipeline","47730630c398013596c5d3ae679c24e7",NA,"https://www.encodeproject.org/files/ENCFF239FPC/@@download/ENCFF239FPC.bigBed","GRCh38",NA,NA,"released",NA,"low spot score, low read depth",NA,NA,NA
"70","ENCFF733ZVV","bigBed narrowPeak","peaks","ENCSR000ENL","DNase-seq","CL:0000706","choroid plexus epithelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-14","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF179EGA, ENCFF967OQF",4604129,"ENCODE Processing Pipeline","7783a4dc315a7be3e2a0353a8ed5952e",NA,"https://www.encodeproject.org/files/ENCFF733ZVV/@@download/ENCFF733ZVV.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"71","ENCFF134RUG","bigBed broadPeak","hotspots","ENCSR000ENL","DNase-seq","CL:0000706","choroid plexus epithelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-14","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF179EGA, ENCFF967OQF",7226899,"ENCODE Processing Pipeline","c2174697134f4690206ab7dd4f8fb844",NA,"https://www.encodeproject.org/files/ENCFF134RUG/@@download/ENCFF134RUG.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"72","ENCFF740FSZ","bigBed narrowPeak","peaks","ENCSR000ENL","DNase-seq","CL:0000706","choroid plexus epithelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-14","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF582ELI, ENCFF967OQF",1410725,"ENCODE Processing Pipeline","b5579be762219f7e8b2423d80118891f",NA,"https://www.encodeproject.org/files/ENCFF740FSZ/@@download/ENCFF740FSZ.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"73","ENCFF246TIY","bigBed broadPeak","hotspots","ENCSR000ENL","DNase-seq","CL:0000706","choroid plexus epithelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-14","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF582ELI, ENCFF967OQF",3275355,"ENCODE Processing Pipeline","f769625326396a1f63bd4d1e10038fca",NA,"https://www.encodeproject.org/files/ENCFF246TIY/@@download/ENCFF246TIY.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"86","ENCFF021NBR","bigWig","read-depth normalized signal","ENCSR000ENL","DNase-seq","CL:0000706","choroid plexus epithelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-14","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF179EGA",699984869,"ENCODE Processing Pipeline","bc9c39cebb0616c5b73b788eaca677e0",NA,"https://www.encodeproject.org/files/ENCFF021NBR/@@download/ENCFF021NBR.bigWig","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"87","ENCFF358SYJ","bigWig","read-depth normalized signal","ENCSR000ENL","DNase-seq","CL:0000706","choroid plexus epithelial cell","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2010-12-14","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF582ELI",552070464,"ENCODE Processing Pipeline","a41c3ce6d69db296bda7206d6d514e65",NA,"https://www.encodeproject.org/files/ENCFF358SYJ/@@download/ENCFF358SYJ.bigWig","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"105","ENCFF725VGE","bigBed narrowPeak","peaks","ENCSR000ENC","DNase-seq","CL:0002603","astrocyte of the cerebellum","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF419YZK, ENCFF967OQF",1598831,"ENCODE Processing Pipeline","eb26b38868221e6db7acc3aa36cde74d",NA,"https://www.encodeproject.org/files/ENCFF725VGE/@@download/ENCFF725VGE.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"106","ENCFF840LDJ","bigBed broadPeak","hotspots","ENCSR000ENC","DNase-seq","CL:0002603","astrocyte of the cerebellum","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF419YZK, ENCFF967OQF",3690276,"ENCODE Processing Pipeline","477b9d5d341bb66c9f8d877bac9fcfb0",NA,"https://www.encodeproject.org/files/ENCFF840LDJ/@@download/ENCFF840LDJ.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"107","ENCFF866PMP","bigBed narrowPeak","peaks","ENCSR000ENC","DNase-seq","CL:0002603","astrocyte of the cerebellum","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF860MDX, ENCFF967OQF",1224889,"ENCODE Processing Pipeline","5da59c46add0ad1e144a932a31d2bde3",NA,"https://www.encodeproject.org/files/ENCFF866PMP/@@download/ENCFF866PMP.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"108","ENCFF449GBJ","bigBed broadPeak","hotspots","ENCSR000ENC","DNase-seq","CL:0002603","astrocyte of the cerebellum","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF860MDX, ENCFF967OQF",2162598,"ENCODE Processing Pipeline","8d292f87420005a966d4f778e3a727ce",NA,"https://www.encodeproject.org/files/ENCFF449GBJ/@@download/ENCFF449GBJ.bigBed","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"121","ENCFF382FZE","bigWig","read-depth normalized signal","ENCSR000ENC","DNase-seq","CL:0002603","astrocyte of the cerebellum","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF419YZK",608249110,"ENCODE Processing Pipeline","7e6155b6cb1620d292fbf398bf8d5e67",NA,"https://www.encodeproject.org/files/ENCFF382FZE/@@download/ENCFF382FZE.bigWig","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"122","ENCFF851OEN","bigWig","read-depth normalized signal","ENCSR000ENC","DNase-seq","CL:0002603","astrocyte of the cerebellum","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-05-04","ENCODE",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"ENCFF860MDX",579828326,"ENCODE Processing Pipeline","d12e91c881e7477a318415811850f418",NA,"https://www.encodeproject.org/files/ENCFF851OEN/@@download/ENCFF851OEN.bigWig","GRCh38",NA,NA,"released",NA,"low read depth",NA,NA,NA
"136","ENCFF484NRZ","bigBed narrowPeak","peaks","ENCSR000ENF","DNase-seq","CL:2000043","brain pericyte","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2012-03-06","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF113PHZ, ENCFF967OQF",1030345,"ENCODE Processing Pipeline","1034cef36b46ebbbd0e8e9bd6e364eae",NA,"https://www.encodeproject.org/files/ENCFF484NRZ/@@download/ENCFF484NRZ.bigBed","GRCh38",NA,NA,"released",NA,"low spot score, low read depth",NA,NA,NA
"137","ENCFF783QQR","bigBed broadPeak","hotspots","ENCSR000ENF","DNase-seq","CL:2000043","brain pericyte","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2012-03-06","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF113PHZ, ENCFF967OQF",1752321,"ENCODE Processing Pipeline","a510f348aa182bd57a7fbbc5de4d333d",NA,"https://www.encodeproject.org/files/ENCFF783QQR/@@download/ENCFF783QQR.bigBed","GRCh38",NA,NA,"released",NA,"low spot score, low read depth",NA,NA,NA
"144","ENCFF353QSZ","bigWig","read-depth normalized signal","ENCSR000ENF","DNase-seq","CL:2000043","brain pericyte","primary cell","Homo sapiens",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2012-03-06","ENCODE",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"ENCFF113PHZ",611339224,"ENCODE Processing Pipeline","5ac0440645ded148fc1f04003c1c99cf",NA,"https://www.encodeproject.org/files/ENCFF353QSZ/@@download/ENCFF353QSZ.bigWig","GRCh38",NA,NA,"released",NA,"low spot score, low read depth",NA,NA,NA
