"","File accession","File format","Output type","Experiment accession","Assay","Biosample term id","Biosample term name","Biosample type","Biosample organism","Biosample treatments","Biosample treatments amount","Biosample treatments duration","Experiment target","Library made from","Library depleted in","Library extraction method","Library lysis method","Library crosslinking method","Library strand specific","Experiment date released","Project","RBNS protein concentration","Library fragmentation method","Library size range","Biological replicate(s)","Technical replicate","Read length","Mapped read length","Run type","Paired end","Paired with","Derived from","Size","Lab","md5sum","dbxrefs","File download URL","Assembly","Platform","Controlled by","File Status","Restricted","Audit WARNING","Audit INTERNAL_ACTION","Audit NOT_COMPLIANT","Audit ERROR"
"35","ENCFF205BAE","bigBed narrowPeak","peaks","ENCSR179PIH","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF182DBS",2486625,"ENCODE Processing Pipeline","1fa61504388acf35b8063285657bdee0",NA,"https://www.encodeproject.org/files/ENCFF205BAE/@@download/ENCFF205BAE.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"36","ENCFF153YLE","bigBed broadPeak","hotspots","ENCSR179PIH","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF182DBS",3977614,"ENCODE Processing Pipeline","27027c75840b95867f11f839068efdab",NA,"https://www.encodeproject.org/files/ENCFF153YLE/@@download/ENCFF153YLE.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"43","ENCFF255APF","bigWig","read-depth normalized signal","ENCSR179PIH","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF182DBS",696177592,"ENCODE Processing Pipeline","86551fd7bfc1ed989a3223fc95569f67",NA,"https://www.encodeproject.org/files/ENCFF255APF/@@download/ENCFF255APF.bigWig","mm10",NA,NA,"released",NA,"low spot score","","",NA
"44","ENCFF107NBQ","bigWig","read-depth normalized signal","ENCSR179PIH","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF196CWA",698335350,"ENCODE Processing Pipeline","03b37f9b178c82a10f98f98621716c6b",NA,"https://www.encodeproject.org/files/ENCFF107NBQ/@@download/ENCFF107NBQ.bigWig","mm10",NA,NA,"released",NA,"low spot score","","",NA
"53","ENCFF407WPJ","bigBed narrowPeak","peaks","ENCSR367FCW","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF620QKV",3399683,"ENCODE Processing Pipeline","eafcb51a3434d1d697530d3af449a7d6",NA,"https://www.encodeproject.org/files/ENCFF407WPJ/@@download/ENCFF407WPJ.bigBed","mm10",NA,NA,"released",NA,"","","",NA
"54","ENCFF031SZO","bigBed broadPeak","hotspots","ENCSR367FCW","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF620QKV",4882884,"ENCODE Processing Pipeline","415aa9f7b15f27c8384e20247acb5c91",NA,"https://www.encodeproject.org/files/ENCFF031SZO/@@download/ENCFF031SZO.bigBed","mm10",NA,NA,"released",NA,"","","",NA
"62","ENCFF115OLL","bigWig","read-depth normalized signal","ENCSR367FCW","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF620QKV",701106075,"ENCODE Processing Pipeline","d4329972f47007c0cd28b006627f6311",NA,"https://www.encodeproject.org/files/ENCFF115OLL/@@download/ENCFF115OLL.bigWig","mm10",NA,NA,"released",NA,"","","",NA
"68","ENCFF667IQW","bigBed narrowPeak","peaks","ENCSR469VGZ","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF741QLP",3424189,"ENCODE Processing Pipeline","ab056148eb3cacaf4a4289446b41a49b",NA,"https://www.encodeproject.org/files/ENCFF667IQW/@@download/ENCFF667IQW.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"69","ENCFF253PQI","bigBed broadPeak","hotspots","ENCSR469VGZ","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF741QLP",5389933,"ENCODE Processing Pipeline","7cc8fbeb8814d3bb6a2442718ad34314",NA,"https://www.encodeproject.org/files/ENCFF253PQI/@@download/ENCFF253PQI.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"70","ENCFF783JAU","bigBed narrowPeak","peaks","ENCSR469VGZ","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF230KYJ",2059063,"ENCODE Processing Pipeline","079896f4975933d033377b3745296b08",NA,"https://www.encodeproject.org/files/ENCFF783JAU/@@download/ENCFF783JAU.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"71","ENCFF068DYZ","bigBed broadPeak","hotspots","ENCSR469VGZ","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF230KYJ",2927590,"ENCODE Processing Pipeline","eefc74ce7609716db0b6676a3c6ae4a2",NA,"https://www.encodeproject.org/files/ENCFF068DYZ/@@download/ENCFF068DYZ.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"75","ENCFF283WGI","bigWig","read-depth normalized signal","ENCSR469VGZ","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF741QLP",725173640,"ENCODE Processing Pipeline","ae64a748f92c79de20f816d0a2e33102",NA,"https://www.encodeproject.org/files/ENCFF283WGI/@@download/ENCFF283WGI.bigWig","mm10",NA,NA,"released",NA,"low spot score","","",NA
"76","ENCFF310XJU","bigWig","read-depth normalized signal","ENCSR469VGZ","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF230KYJ",670479008,"ENCODE Processing Pipeline","cbf546d31b5b5c48c9942ce688051513",NA,"https://www.encodeproject.org/files/ENCFF310XJU/@@download/ENCFF310XJU.bigWig","mm10",NA,NA,"released",NA,"low spot score","","",NA
"82","ENCFF007GMX","bigBed narrowPeak","peaks","ENCSR358ESL","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF606PCD",2589025,"ENCODE Processing Pipeline","07bd328e2f752702581cf3414d97cfcd",NA,"https://www.encodeproject.org/files/ENCFF007GMX/@@download/ENCFF007GMX.bigBed","mm10",NA,NA,"released",NA,"","","",NA
"83","ENCFF285BLZ","bigBed broadPeak","hotspots","ENCSR358ESL","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF606PCD",4584490,"ENCODE Processing Pipeline","08a2fe8eef461a313113336972d3e13b",NA,"https://www.encodeproject.org/files/ENCFF285BLZ/@@download/ENCFF285BLZ.bigBed","mm10",NA,NA,"released",NA,"","","",NA
"84","ENCFF696MPR","bigBed narrowPeak","peaks","ENCSR358ESL","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF256OEH",2567445,"ENCODE Processing Pipeline","75104fa5260bb85aa205b9106b56535a",NA,"https://www.encodeproject.org/files/ENCFF696MPR/@@download/ENCFF696MPR.bigBed","mm10",NA,NA,"released",NA,"","","",NA
"85","ENCFF452VEK","bigBed broadPeak","hotspots","ENCSR358ESL","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF256OEH",3516577,"ENCODE Processing Pipeline","f18fd33212e258aa9bb0693a8633a7ce",NA,"https://www.encodeproject.org/files/ENCFF452VEK/@@download/ENCFF452VEK.bigBed","mm10",NA,NA,"released",NA,"","","",NA
"89","ENCFF943PHW","bigWig","read-depth normalized signal","ENCSR358ESL","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF606PCD",698488678,"ENCODE Processing Pipeline","ac8362cc643d600b0ed85cd7b1a46012",NA,"https://www.encodeproject.org/files/ENCFF943PHW/@@download/ENCFF943PHW.bigWig","mm10",NA,NA,"released",NA,"","","",NA
"90","ENCFF232ENN","bigWig","read-depth normalized signal","ENCSR358ESL","DNase-seq","UBERON:0002028","hindbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF256OEH",692082388,"ENCODE Processing Pipeline","e594bf8bba4f0f4f3ecdd2145289272d",NA,"https://www.encodeproject.org/files/ENCFF232ENN/@@download/ENCFF232ENN.bigWig","mm10",NA,NA,"released",NA,"","","",NA
"97","ENCFF111JXR","bigBed narrowPeak","peaks","ENCSR337EDG","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF657BPN",3334166,"ENCODE Processing Pipeline","ba62befc02d8a9080ffdf4998d004cd9",NA,"https://www.encodeproject.org/files/ENCFF111JXR/@@download/ENCFF111JXR.bigBed","mm10",NA,NA,"released",NA,"","","",NA
"98","ENCFF390HNG","bigBed broadPeak","hotspots","ENCSR337EDG","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF657BPN",5062343,"ENCODE Processing Pipeline","66144989a4a923a5d440569cce59baa3",NA,"https://www.encodeproject.org/files/ENCFF390HNG/@@download/ENCFF390HNG.bigBed","mm10",NA,NA,"released",NA,"","","",NA
"99","ENCFF476YBO","bigBed narrowPeak","peaks","ENCSR337EDG","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF049RJN",2599018,"ENCODE Processing Pipeline","8aeb0a598ebb925902873dd6e48fa846",NA,"https://www.encodeproject.org/files/ENCFF476YBO/@@download/ENCFF476YBO.bigBed","mm10",NA,NA,"released",NA,"","","",NA
"100","ENCFF186UED","bigBed broadPeak","hotspots","ENCSR337EDG","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF049RJN",3899401,"ENCODE Processing Pipeline","4d92cdce7da56f956b6a3962927a0763",NA,"https://www.encodeproject.org/files/ENCFF186UED/@@download/ENCFF186UED.bigBed","mm10",NA,NA,"released",NA,"","","",NA
"107","ENCFF034WQW","bigWig","read-depth normalized signal","ENCSR337EDG","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF049RJN",634507309,"ENCODE Processing Pipeline","210ac0a529d846ceda6a2c68f0359640",NA,"https://www.encodeproject.org/files/ENCFF034WQW/@@download/ENCFF034WQW.bigWig","mm10",NA,NA,"released",NA,"","","",NA
"108","ENCFF149TTQ","bigWig","read-depth normalized signal","ENCSR337EDG","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF657BPN",692771719,"ENCODE Processing Pipeline","f16b8ec4408936cd16811c7fd1a334e5",NA,"https://www.encodeproject.org/files/ENCFF149TTQ/@@download/ENCFF149TTQ.bigWig","mm10",NA,NA,"released",NA,"","","",NA
"114","ENCFF561MQT","bigBed narrowPeak","peaks","ENCSR791AJY","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-11-05","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF162AIS",2841956,"ENCODE Processing Pipeline","aba6ed9957f6d4037eb0c5fe1926d5a5",NA,"https://www.encodeproject.org/files/ENCFF561MQT/@@download/ENCFF561MQT.bigBed","mm10",NA,NA,"released",NA,"","","unreplicated experiment",NA
"115","ENCFF844QXT","bigBed broadPeak","hotspots","ENCSR791AJY","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-11-05","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF162AIS",4139748,"ENCODE Processing Pipeline","181b41ee1fcc80412e8bb12bb0763927",NA,"https://www.encodeproject.org/files/ENCFF844QXT/@@download/ENCFF844QXT.bigBed","mm10",NA,NA,"released",NA,"","","unreplicated experiment",NA
"119","ENCFF684BQC","bigWig","read-depth normalized signal","ENCSR791AJY","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-11-05","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF162AIS",662178138,"ENCODE Processing Pipeline","5af315e65f89836e9207fa51aa813f1d",NA,"https://www.encodeproject.org/files/ENCFF684BQC/@@download/ENCFF684BQC.bigWig","mm10",NA,NA,"released",NA,"","","unreplicated experiment",NA
"122","ENCFF939QXW","bigBed narrowPeak","peaks","ENCSR773SAG","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF608FJD",1702337,"ENCODE Processing Pipeline","e546fbd3de16250d8397e769eede2bfc",NA,"https://www.encodeproject.org/files/ENCFF939QXW/@@download/ENCFF939QXW.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"123","ENCFF011SNP","bigBed broadPeak","hotspots","ENCSR773SAG","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF608FJD",2185482,"ENCODE Processing Pipeline","c725e43e19d18b5248fa2974c02055c1",NA,"https://www.encodeproject.org/files/ENCFF011SNP/@@download/ENCFF011SNP.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"124","ENCFF302WCY","bigBed narrowPeak","peaks","ENCSR773SAG","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF011CAK, ENCFF026MOH",1976398,"ENCODE Processing Pipeline","470bb0911a8d2b5a594f33b0754b5bf9",NA,"https://www.encodeproject.org/files/ENCFF302WCY/@@download/ENCFF302WCY.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"125","ENCFF306GTS","bigBed broadPeak","hotspots","ENCSR773SAG","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF011CAK, ENCFF026MOH",2754570,"ENCODE Processing Pipeline","ac105b62f743ae7f31ad8562e15c0d3d",NA,"https://www.encodeproject.org/files/ENCFF306GTS/@@download/ENCFF306GTS.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"126","ENCFF327SCP","bigWig","read-depth normalized signal","ENCSR773SAG","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF608FJD",680829265,"ENCODE Processing Pipeline","b537cf42009adf24ac3defc6eb0a24b2",NA,"https://www.encodeproject.org/files/ENCFF327SCP/@@download/ENCFF327SCP.bigWig","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"128","ENCFF238UBT","bigWig","read-depth normalized signal","ENCSR773SAG","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF011CAK",668373461,"ENCODE Processing Pipeline","9dfc4eb813dfa1008ee989ebb943c2d7",NA,"https://www.encodeproject.org/files/ENCFF238UBT/@@download/ENCFF238UBT.bigWig","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
